flow_key,total_bytes,incoming_bytes,outgoing_bytes,max_packet_length_bytes,min_packet_length_bytes,total_packets,incoming_packets,current_pkt_len,iat_sum,iat_max,ttl,label
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",49323,35814,13509,1221,119,50,34,1157,118.15452575683594,34.3015193939209,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",42527,26180,16347,1157,114,50,27,1111,91.17674827575684,34.653663635253906,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",48940,24003,24937,1217,119,50,23,1195,113.6026382446289,43.2734489440918,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",52457,28181,24276,1228,127,50,25,994,79.32376861572266,53.748130798339844,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",52337,44364,7973,1205,119,50,42,1205,115.63324928283691,39.78705406188965,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",53469,24208,29261,1221,119,50,22,1221,93.25242042541504,32.93347358703613,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",46186,19240,26946,1220,119,50,18,873,73.68254661560059,54.828643798828125,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",51854,40889,10965,1220,119,50,39,1086,113.15608024597168,39.237022399902344,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",48935,21423,27512,1189,119,50,21,1175,79.81300354003906,40.7867431640625,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",45185,29752,15433,1186,119,50,28,119,98.9539623260498,49.172163009643555,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",50919,31170,19749,1215,119,50,28,951,92.2231674194336,33.82730484008789,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",52082,40264,11818,1193,119,50,38,1176,118.97802352905273,42.65022277832031,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",45244,19275,25969,1177,114,50,20,119,89.75887298583984,39.79349136352539,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",51209,30637,20572,1171,119,50,28,1171,77.87537574768066,27.304410934448242,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",51579,30859,20720,1201,119,50,28,972,108.23869705200195,42.833805084228516,116,video
"('172.16.48.81', '52.114.112.71', 50013, 3479, 17)",8269,2172,6097,242,79,50,17,201,3899.1689682006836,1101.1741161346436,116,voice
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",54975,42964,12011,1222,119,50,38,1213,97.18942642211914,45.804500579833984,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",46396,23180,23216,1229,119,50,22,1197,109.96699333190918,40.657997131347656,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",45325,29230,16095,1229,119,50,28,1158,98.59919548034668,31.34775161743164,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",46963,30426,16537,1184,119,50,28,764,89.92362022399902,38.37156295776367,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",48453,37721,10732,1221,119,50,36,920,126.5721321105957,45.35412788391113,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",49423,28030,21393,1221,119,50,27,1200,94.90013122558594,38.98429870605469,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",49567,30722,18845,1200,119,50,28,1187,64.96644020080566,33.721923828125,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",50692,31625,19067,1203,119,50,30,1045,115.05579948425293,48.56419563293457,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",50556,33797,16759,1228,119,50,32,929,125.57530403137207,38.35606575012207,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",47880,24808,23072,1199,114,50,25,1199,104.07018661499023,33.16783905029297,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",44957,30524,14433,1199,119,50,28,1168,59.8604679107666,24.747133255004883,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",51321,39744,11577,1230,119,50,36,901,107.83028602600098,33.97226333618164,116,video
